"Df","AIC","BIC","logLik","deviance","Chisq","Chi.Df","Pr..Chisq.","env","trait"
10,870.093914882821,905.966401466823,-425.04695744141,850.093914882821,NA,NA,NA,"GH","shoot"
11,865.997401420711,905.457136663114,-421.998700710355,843.997401420711,6.09651346210978,1,0.013544886387006,"GH","shoot"
10,770.207360215107,805.928900536884,-375.103680107553,750.207360215107,NA,NA,NA,"GH","leaf"
11,771.721311500111,811.015005854067,-374.860655750056,749.721311500111,0.486048714995377,1,0.485695196647179,"GH","leaf"
10,1774.7356129566,1810.38081702983,-877.3678064783,1754.7356129566,NA,NA,NA,"GH","nod"
11,1774.67310724968,1813.88283173023,-876.336553624838,1752.67310724968,2.06250570692373,1,0.150961754500516,"GH","nod"
10,98.2791641314884,133.613059018764,-39.1395820657442,78.2791641314884,NA,NA,NA,"GH","choice"
11,88.7931981972487,127.660482573251,-33.3965990986243,66.7931981972487,11.4859659342397,1,0.000701236732294252,"GH","choice"
10,1710.28446474034,1745.92966881357,-845.142232370169,1690.28446474034,NA,NA,NA,"GH","red_nod"
11,1708.24404203893,1747.45376651948,-843.122021019464,1686.24404203893,4.04042270141008,1,0.0444226936395489,"GH","red_nod"
4,534.617318918512,547.230485296504,-263.308659459256,526.617318918512,NA,NA,NA,"plot_1","shoot"
5,534.562913062183,550.329371034672,-262.281456531091,524.562913062183,2.05440585632971,1,0.151766445427458,"plot_1","shoot"
4,921.650186706291,934.309330601985,-456.825093353146,913.650186706291,NA,NA,NA,"plot_1","leaf"
5,923.380328991031,939.204258860649,-456.690164495516,913.380328991031,0.269857715259604,1,0.603427234050565,"plot_1","leaf"
4,790.550239980065,803.209383875759,-391.275119990033,782.550239980065,NA,NA,NA,"plot_1","nod"
5,790.238425618812,806.06235548843,-390.119212809406,780.238425618812,2.31181436125337,1,0.128394103807219,"plot_1","nod"
4,682.013790311371,695.043771799482,-337.006895155686,674.013790311371,NA,NA,NA,"plot_2","shoot"
5,682.332927328818,698.620404188957,-336.166463664409,672.332927328818,1.68086298255298,1,0.194809821898071,"plot_2","shoot"
4,1143.30187201702,1156.57435199239,-567.650936008509,1135.30187201702,NA,NA,NA,"plot_2","leaf"
5,1145.30187201702,1161.89247198624,-567.650936008509,1135.30187201702,2.27373675443232e-13,1,0.999999619538993,"plot_2","leaf"
4,900.330211125004,913.622251041558,-446.165105562502,892.330211125004,NA,NA,NA,"plot_2","nod"
5,900.712826528018,917.32787642371,-445.356413264009,890.712826528018,1.61738459698586,1,0.203456854154026,"plot_2","nod"
4,656.859192983717,669.675219732024,-324.429596491859,648.859192983717,NA,NA,NA,"plot_3","shoot"
5,654.046153984512,670.066187419896,-322.023076992256,644.046153984512,4.81303899920499,1,0.0282451922552845,"plot_3","shoot"
4,997.880882069771,1010.88997578196,-494.940441034885,989.880882069771,NA,NA,NA,"plot_3","leaf"
5,990.806951198995,1007.06831833923,-490.403475599497,980.806951198995,9.07393087077605,1,0.00259279118611829,"plot_3","leaf"
4,791.708329348916,804.717423061102,-391.854164674458,783.708329348916,NA,NA,NA,"plot_3","nod"
5,793.708329348916,809.969696489149,-391.854164674458,783.708329348916,1.13686837721616e-13,1,0.999999730973442,"plot_3","nod"
4,270.706228055952,280.476833081913,-131.353114027976,262.706228055952,NA,NA,NA,"plot_4","shoot"
5,272.597482680901,284.810738963353,-131.298741340451,262.597482680901,0.108745375050376,1,0.741577054303745,"plot_4","shoot"
4,377.630237062805,387.629475744126,-184.815118531403,369.630237062805,NA,NA,NA,"plot_4","leaf"
5,379.610206384954,392.109254736605,-184.805103192477,369.610206384954,0.0200306778509116,1,0.887451437943017,"plot_4","leaf"
4,369.82298028518,379.777525764108,-180.91149014259,361.82298028518,NA,NA,NA,"plot_4","nod"
5,371.82298028518,384.26616213384,-180.91149014259,361.82298028518,0,1,1,"plot_4","nod"
4,470.570035240957,483.229179136651,-231.285017620479,462.570035240957,NA,NA,NA,"plot_1","fruit"
5,471.507826681087,487.331756550704,-230.753913340543,461.507826681087,1.06220855987021,1,0.302712003685267,"plot_1","fruit"
4,831.01037222331,844.302412139863,-411.505186111655,823.01037222331,NA,NA,NA,"plot_2","fruit"
5,825.689575974288,842.30462586998,-407.844787987144,815.689575974288,7.32079624902156,1,0.00681612066484142,"plot_2","fruit"
4,290.75948272465,303.768576436836,-141.379741362325,282.75948272465,NA,NA,NA,"plot_3","fruit"
5,291.676611007163,307.937978147396,-140.838305503581,281.676611007163,1.08287171748697,1,0.298056020360389,"plot_3","fruit"
