env1-env2,Vg1,Vg2,Rg,crossing,hetero,trait
GH_p1,0.143506827,0.10383615,-0.062821971,0.009603528,0.0000781,shoot
GH_p2,0.143506827,0.141166586,-0.386298448,0.012029496,0.000004,shoot
GH_p3,0.143506827,0.302409883,0.087239716,0.007097038,0.001522989,shoot
GH_p4,0.143506827,0.118746749,-0.395348046,0.009740609,0.000112459,shoot
p1_p2,0.10383615,0.141166586,0.089356614,0.008652611,0.000117388,shoot
p1_p3,0.10383615,0.302409883,-0.010048295,0.015242853,0.00229068,shoot
p1_p4,0.10383615,0.118746749,0.22349551,0.004797693,0.00000313,shoot
p2_p3,0.141166586,0.302409883,-0.002886692,0.016014613,0.001370959,shoot
p2_p4,0.141166586,0.118746749,0.127656556,0.007214542,0.000158854,shoot
p3_p4,0.302409883,0.118746749,-0.09442093,0.011411159,0.002463155,shoot
GH_p1,0.024701236,0.298785777,0.161595336,0.00703851,0.005555034,leaves
GH_p2,0.024701236,0.219095523,-0.152009296,0.003015256,0.0000456,leaves
GH_p3,0.024701236,1.964918571,0.194745284,0.012260375,0.052414307,leaves
GH_p4,0.024701236,0.132051274,-0.136688124,0.003363917,0.000401608,leaves
p1_p2,0.298785777,0.219095523,0.062915398,0.008966653,0.004594121,leaves
p1_p3,0.298785777,1.964918571,0.01349331,0.067333173,0.023842328,leaves
p1_p4,0.298785777,0.132051274,0.076029791,0.011152471,0.002969372,leaves
p2_p3,0.219095523,1.964918571,0.21734414,0.017755034,0.049368199,leaves
p2_p4,0.219095523,0.132051274,0.164570495,0.00411661,0.000176571,leaves
p3_p4,1.964918571,0.132051274,0.072837414,0.025257888,0.043639859,leaves
p1_p2,0.361606769,1.861142748,0.258759575,0.014311605,0.00507482,fruits
p1_p3,0.361606769,0,-0.098037498,0.003091722,0.00121724,fruits
p2_p3,1.861142748,0,-0.075146533,0.007067352,0.011262884,fruits
