"","model term","df1","df2","F.ratio","p.value"
"1","env",4,Inf,103.456,2.86232736557965e-88
"3","line",26,Inf,1.869,0.0046085913944407
"2","env:line",104,Inf,1.614,7.34910639346262e-05
"11","env",4,Inf,162.367,3.03683749469213e-139
"31","line",27,Inf,2.512,2.2746205478682e-05
"21","env:line",108,Inf,1.466,0.00116635373891408
"12","env",4,Inf,141.41,4.22950021812606e-121
"32","line",27,Inf,1.642,0.0190583256015541
"22","env:line",108,Inf,1.306,0.0180815427413862
"33","line",1,Inf,0.18,0.671615408703264
"23","env:line",16,Inf,2.452,0.00100525060157716
