"Df","AIC","BIC","logLik","deviance","Chisq","Chi.Df","Pr..Chisq.","env","trait","pval_corr"
10,781.67845008157,816.401156818285,-380.839225040785,761.67845008157,NA,NA,NA,"GH","shoot",NA
11,777.412260971703,815.607238382089,-377.706130485851,755.412260971703,6.26618910986736,1,0.0123063547891884,"GH","shoot",0.00615317739459421
10,719.456124239605,754.427806492537,-349.728062119803,699.456124239605,NA,NA,NA,"GH","leaf",NA
11,721.159589333578,759.628439811803,-349.579794666789,699.159589333578,0.296534906027546,1,0.586062922551787,"GH","leaf",0.293031461275893
10,1647.26463058177,1682.15400784334,-813.632315290886,1627.26463058177,NA,NA,NA,"GH","nod",NA
11,1647.49953431937,1685.87784930709,-812.749767159685,1625.49953431937,1.76509626240181,1,0.183990121348578,"GH","nod",0.0919950606742891
10,98.2791641314884,133.613059018764,-39.1395820657442,78.2791641314884,NA,NA,NA,"GH","choice",NA
11,88.7931981972487,127.660482573251,-33.3965990986243,66.7931981972487,11.4859659342397,1,0.000701236732294252,"GH","choice",0.000350618366147126
10,1710.28446474034,1745.92966881357,-845.142232370169,1690.28446474034,NA,NA,NA,"GH","red_nod",NA
11,1708.24404203893,1747.45376651948,-843.122021019464,1686.24404203893,4.04042270141008,1,0.0444226936395489,"GH","red_nod",0.0222113468197744
4,491.6618162596,503.912196391708,-241.8309081298,483.6618162596,NA,NA,NA,"plot_1","shoot",NA
5,491.310180585104,506.623155750239,-240.655090292552,481.310180585104,2.35163567449626,1,0.125151629011536,"plot_1","shoot",0.0625758145057679
4,850.111951065029,862.412646325964,-421.055975532514,842.111951065029,NA,NA,NA,"plot_1","leaf",NA
5,851.909014777626,867.284883853795,-420.954507388813,841.909014777626,0.202936287402622,1,0.652361125913442,"plot_1","leaf",0.326180562956721
4,734.762888401035,747.06358366197,-363.381444200517,726.762888401035,NA,NA,NA,"plot_1","nod",NA
5,734.820799165529,750.196668241698,-362.410399582765,724.820799165529,1.94208923550536,1,0.163441867635612,"plot_1","nod",0.0817209338178061
4,634.982701375826,647.664637355979,-313.491350687913,626.982701375826,NA,NA,NA,"plot_2","shoot",NA
5,635.307658344241,651.160078319431,-312.65382917212,625.307658344241,1.6750430315858,1,0.195584421247525,"plot_2","shoot",0.0977922106237627
4,1039.51255260951,1052.41553930436,-515.756276304755,1031.51255260951,NA,NA,NA,"plot_2","leaf",NA
5,1041.39877950493,1057.5275128735,-515.699389752467,1031.39877950493,0.113773104577831,1,0.735888732193752,"plot_2","leaf",0.367944366096876
4,821.971917621665,834.896352089083,-406.985958810832,813.971917621665,NA,NA,NA,"plot_2","nod",NA
5,822.491027605304,838.646570689577,-406.245513802652,812.491027605304,1.4808900163606,1,0.223635322896894,"plot_2","nod",0.111817661448447
4,613.374974784483,625.894569644176,-302.687487392242,605.374974784483,NA,NA,NA,"plot_3","shoot",NA
5,610.231765843463,625.881259418079,-300.115882921732,600.231765843463,5.14320894101991,1,0.0233374726946265,"plot_3","shoot",0.0116687363473132
4,925.443987746502,938.103131642197,-458.721993873251,917.443987746502,NA,NA,NA,"plot_3","leaf",NA
5,918.489668778079,934.313598647697,-454.24483438904,908.489668778079,8.95431896842308,1,0.00276814361766442,"plot_3","leaf",0.00138407180883221
4,737.483030983026,750.14217487872,-364.741515491513,729.483030983026,NA,NA,NA,"plot_3","nod",NA
5,739.483030983026,755.306960852644,-364.741515491513,729.483030983026,2.27373675443232e-13,1,0.999999619538993,"plot_3","nod",0.499999809769497
4,261.094218708259,270.721095697316,-126.54710935413,253.094218708259,NA,NA,NA,"plot_4","shoot",NA
5,262.798115642643,274.831711878965,-126.399057821322,252.798115642643,0.296103065616165,1,0.586335825855136,"plot_4","shoot",0.293167912927568
4,377.630237062805,387.629475744126,-184.815118531403,369.630237062805,NA,NA,NA,"plot_4","leaf",NA
5,379.610206384954,392.109254736605,-184.805103192477,369.610206384954,0.0200306778509116,1,0.887451437943017,"plot_4","leaf",0.443725718971509
4,369.82298028518,379.777525764108,-180.91149014259,361.82298028518,NA,NA,NA,"plot_4","nod",NA
5,371.82298028518,384.26616213384,-180.91149014259,361.82298028518,0,1,1,"plot_4","nod",0.5
4,443.797892879559,456.098588140494,-217.898946439779,435.797892879559,NA,NA,NA,"plot_1","fruit",NA
5,444.941695595788,460.317564671957,-217.470847797894,434.941695595788,0.856197283771053,1,0.354805047313184,"plot_1","fruit",0.177402523656592
4,745.063347625195,757.987782092613,-368.531673812597,737.063347625195,NA,NA,NA,"plot_2","fruit",NA
5,739.553558778119,755.709101862392,-364.776779389059,729.553558778119,7.50978884707558,1,0.00613645650984645,"plot_2","fruit",0.00306822825492322
4,281.539331045644,294.198474941338,-136.769665522822,273.539331045644,NA,NA,NA,"plot_3","fruit",NA
5,282.702442634597,298.526372504214,-136.351221317298,272.702442634597,0.836888411047312,1,0.360288205842247,"plot_3","fruit",0.180144102921124
