"env_trait","Df","AIC","BIC","logLik","deviance","Chisq","Chi.Df","Pr..Chisq.","env.x","trait.x","pval_corr","grp","var1","var2","vcov","sdcor","env.y","trait.y","V_tot","V_prop"
"GH_choice",11,88.7931981972487,127.660482573251,-33.3965990986243,66.7931981972487,11.4859659342397,1,0.000701236732294252,"GH","choice",0.000350618366147126,"line","(Intercept)",NA,0.0107515882599166,0.1036898657532,"GH","choice",0.0823807222618968,0.130510973498584
"GH_leaf",11,721.159589333578,759.628439811803,-349.579794666789,699.159589333578,0.296534906027546,1,0.586062922551787,"GH","leaf",0.293031461275893,"line","(Intercept)",NA,0.0247012356612555,0.157166267567998,"GH","leaf",1.08093304585028,0.022851772138972
"GH_nod",11,1647.49953431937,1685.87784930709,-812.749767159685,1625.49953431937,1.76509626240181,1,0.183990121348578,"GH","nod",0.0919950606742891,"line","(Intercept)",NA,2.58820073969957,1.60878859384929,"GH","nod",51.4939131659028,0.0502622655877972
"GH_red_nod",11,1708.24404203893,1747.45376651948,-843.122021019464,1686.24404203893,4.04042270141008,1,0.0444226936395489,"GH","red_nod",0.0222113468197744,"line","(Intercept)",NA,2.86133363152624,1.69154770300049,"GH","red_nod",39.7006829986243,0.0720726550630221
"GH_shoot",11,777.412260971703,815.607238382089,-377.706130485851,755.412260971703,6.26618910986736,1,0.0123063547891884,"GH","shoot",0.00615317739459421,"line","(Intercept)",NA,0.143506827132772,0.37882294958565,"GH","shoot",1.56502777431963,0.0916960257751078
"plot_1_fruit",5,444.941695595788,460.317564671957,-217.470847797894,434.941695595788,0.856197283771053,1,0.354805047313184,"plot_1","fruit",0.177402523656592,"line","(Intercept)",NA,0.0906646385665569,0.301105693347962,"plot_1","fruit",0.930610342179905,0.097424920460458
"plot_1_leaf",5,851.909014777626,867.284883853795,-420.954507388813,841.909014777626,0.202936287402622,1,0.652361125913442,"plot_1","leaf",0.326180562956721,"line","(Intercept)",NA,0.298785776628097,0.546613004444732,"plot_1","leaf",13.54557307904,0.0220578173315109
"plot_1_nod",5,734.820799165529,750.196668241698,-362.410399582765,724.820799165529,1.94208923550536,1,0.163441867635612,"plot_1","nod",0.0817209338178061,"line","(Intercept)",NA,0.455821298853638,0.675145390900092,"plot_1","nod",5.9334341299828,0.0768225093374314
"plot_1_shoot",5,491.310180585104,506.623155750239,-240.655090292552,481.310180585104,2.35163567449626,1,0.125151629011536,"plot_1","shoot",0.0625758145057679,"line","(Intercept)",NA,0.103836149595173,0.322236170525863,"plot_1","shoot",1.51839088230035,0.0683856514192591
"plot_2_fruit",5,739.553558778119,755.709101862392,-364.776779389059,729.553558778119,7.50978884707558,1,0.00613645650984645,"plot_2","fruit",0.00306822825492322,"line","(Intercept)",NA,0.452002502553086,0.672311313717898,"plot_2","fruit",4.23514784319138,0.106726499118501
"plot_2_leaf",5,1041.39877950493,1057.5275128735,-515.699389752467,1031.39877950493,0.113773104577831,1,0.735888732193752,"plot_2","leaf",0.367944366096876,"line","(Intercept)",NA,0.219095523069695,0.468076407298739,"plot_2","leaf",20.1475028964664,0.0108745745909842
"plot_2_nod",5,822.491027605304,838.646570689577,-406.245513802652,812.491027605304,1.4808900163606,1,0.223635322896894,"plot_2","nod",0.111817661448447,"line","(Intercept)",NA,0.295995599485264,0.544054776180913,"plot_2","nod",5.04840098277255,0.0586315549211198
"plot_2_shoot",5,635.307658344241,651.160078319431,-312.65382917212,625.307658344241,1.6750430315858,1,0.195584421247525,"plot_2","shoot",0.0977922106237627,"line","(Intercept)",NA,0.141166585826794,0.375721420505664,"plot_2","shoot",3.25890179520024,0.0433172260774186
"plot_3_fruit",5,282.702442634597,298.526372504214,-136.351221317298,272.702442634597,0.836888411047312,1,0.360288205842247,"plot_3","fruit",0.180144102921124,"line","(Intercept)",NA,0.0175474122438445,0.132466645778643,"plot_3","fruit",0.285042452745378,0.0615606976253437
"plot_3_leaf",5,918.489668778079,934.313598647697,-454.24483438904,908.489668778079,8.95431896842308,1,0.00276814361766442,"plot_3","leaf",0.00138407180883221,"line","(Intercept)",NA,1.96491885444234,1.40175563292692,"plot_3","leaf",11.9310953680272,0.164688890150682
"plot_3_nod",5,739.483030983026,755.306960852644,-364.741515491513,729.483030983026,2.27373675443232e-13,1,0.999999619538993,"plot_3","nod",0.499999809769497,"line","(Intercept)",NA,8.55610228077806e-09,9.24992015142729e-05,"plot_3","nod",4.0655683105198,2.10452798410467e-09
"plot_3_shoot",5,610.231765843463,625.881259418079,-300.115882921732,600.231765843463,5.14320894101991,1,0.0233374726946265,"plot_3","shoot",0.0116687363473132,"line","(Intercept)",NA,0.302409883362471,0.549918069681722,"plot_3","shoot",2.46114597043537,0.12287360725255
"plot_4_leaf",5,379.610206384954,392.109254736605,-184.805103192477,369.610206384954,0.0200306778509116,1,0.887451437943017,"plot_4","leaf",0.443725718971509,"line","(Intercept)",NA,0.132051268386799,0.36338859143732,"plot_4","leaf",3.71422130380574,0.0355528810982518
"plot_4_nod",5,371.82298028518,384.26616213384,-180.91149014259,361.82298028518,0,1,1,"plot_4","nod",0.5,"line","(Intercept)",NA,0,0,"plot_4","nod",3.49131316136252,0
"plot_4_shoot",5,262.798115642643,274.831711878965,-126.399057821322,252.798115642643,0.296103065616165,1,0.586335825855136,"plot_4","shoot",0.293167912927568,"line","(Intercept)",NA,0.118746748588004,0.344596501125598,"plot_4","shoot",1.35028469641326,0.0879420087507687
