"grp","var1","var2","vcov","sdcor"
"position","(Intercept)",NA,0.156746057069799,0.395911678370061
"line","(Intercept)",NA,0.133487914120012,0.36535997881543
"Residual",NA,NA,1.21519181797688,1.10235739121978
"position","(Intercept)",NA,0.052057503055376,0.228161133971972
"line","(Intercept)",NA,0.0301669861211904,0.173686459233846
"Residual",NA,NA,0.977399213884197,0.988635025620778
"position","(Intercept)",NA,3.05462851488335,1.74774955725451
"line","(Intercept)",NA,2.65333860171546,1.62890718020256
"Residual",NA,NA,45.2389619630757,6.7259915226735
"position","(Intercept)",NA,0.00067629768783642,0.0260057241359748
"line","(Intercept)",NA,0.0107515882599166,0.1036898657532
"Residual",NA,NA,0.0709528363141438,0.266369736107809
"position","(Intercept)",NA,2.08181200045805,1.44284857156184
"line","(Intercept)",NA,2.86133363152624,1.69154770300049
"Residual",NA,NA,34.7575373666401,5.89555233770679
"line","(Intercept)",NA,0.0885793469199827,0.297622826611103
"diss","(Intercept)",NA,0.403278678143368,0.635042264848072
"Residual",NA,NA,1.02467920127661,1.01226439297083
"line","(Intercept)",NA,0.324668368300657,0.569796778071496
"diss","(Intercept)",NA,2.70516981120597,1.64474004365613
"Residual",NA,NA,9.6716995920699,3.10993562506845
"line","(Intercept)",NA,0.447644414610751,0.669062339853882
"diss","(Intercept)",NA,0.679068375207509,0.824056051010797
"Residual",NA,NA,4.43413079544127,2.10573758940692
"line","(Intercept)",NA,0.121439699928364,0.348481993693166
"diss","(Intercept)",NA,1.44648108322139,1.20269741964527
"Residual",NA,NA,1.56605395247282,1.25142077355014
"line","(Intercept)",NA,0.0197052956460668,0.140375552166561
"diss","(Intercept)",NA,7.14485382920119,2.67298593883342
"Residual",NA,NA,13.6291011243923,3.6917612496466
"line","(Intercept)",NA,0.289246601751631,0.537816513089391
"diss","(Intercept)",NA,0.791083398465916,0.889428692176004
"Residual",NA,NA,3.99857754917604,1.99964435567329
"line","(Intercept)",NA,0.295532330920602,0.543628854017704
"diss","(Intercept)",NA,0.437366130974268,0.661336624552329
"Residual",NA,NA,1.66463850579892,1.29020870629481
"line","(Intercept)",NA,1.7533306375076,1.32413391977836
"diss","(Intercept)",NA,1.07093673145121,1.03486073046145
"Residual",NA,NA,8.39267429852399,2.89701127000293
"line","(Intercept)",NA,0,0
"diss","(Intercept)",NA,0.42154246909372,0.649263019964729
"Residual",NA,NA,3.37545526509742,1.83724121037425
"line","(Intercept)",NA,0.0831870398505851,0.288421635545229
"diss","(Intercept)",NA,0.0283925180916022,0.168500795522164
"Residual",NA,NA,1.21862807063512,1.10391488378186
"line","(Intercept)",NA,0.132051268386799,0.36338859143732
"diss","(Intercept)",NA,0.206059834319841,0.453938139309577
"Residual",NA,NA,3.3761102010991,1.83741944071001
"line","(Intercept)",NA,0,0
"diss","(Intercept)",NA,0,0
"Residual",NA,NA,3.49131316136252,1.8685055957536
"line","(Intercept)",NA,0.0925270884986158,0.304182656472416
"diss","(Intercept)",NA,0.0273786462763544,0.165464939719429
"Residual",NA,NA,0.736968461496767,0.858468672402649
"line","(Intercept)",NA,0.432379575417325,0.657555758409373
"diss","(Intercept)",NA,1.35520514673471,1.16413278741504
"Residual",NA,NA,2.51604246716888,1.58620379118475
"line","(Intercept)",NA,0.0168590470894749,0.129842393267665
"diss","(Intercept)",NA,0.00454250475980672,0.0673981065001586
"Residual",NA,NA,0.24114251794954,0.491062641573903
